name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;956;0;1003;3087;1826;3087;1803;0
header;183;140;183;182;1794;182;1794;140
A;1415;126;1415;127;1415;127;1415;126
A;977;208;977;236;996;236;996;208
A;1414;394;1414;401;1420;401;1420;394
A;979;570;979;571;979;571;979;570
A;1086;800;1086;825;1100;825;1100;800
B;984;873;984;902;1008;902;1008;873
A;1023;982;1023;1008;1039;1008;1039;982
C;992;1546;992;1574;1014;1574;1014;1546
A;1409;1957;1409;1964;1416;1964;1416;1957
D;1377;1995;1377;2020;1406;2020;1406;1995
A;1666;2224;1666;2249;1683;2249;1683;2224
D;1007;2252;1007;2279;1028;2279;1028;2252
