name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;429;0;290;3067;931;3067;931;0
header;106;104;106;140;1719;140;1719;104
A;492;78;492;78;493;78;493;78
A;516;79;516;81;518;81;518;79
A;654;200;654;200;654;200;654;200
A;728;210;728;236;742;236;742;210
D;481;474;481;500;502;500;502;474
A;578;721;578;728;585;728;585;721
A;379;1358;379;1385;393;1385;393;1358
A;656;2238;656;2238;656;2238;656;2238
B;477;2269;477;2296;500;2296;500;2269
A;824;2374;824;2374;824;2374;824;2374
A;666;2612;666;2612;666;2612;666;2612
B;870;2673;870;2685;878;2685;878;2673
A;364;2686;364;2686;364;2686;364;2686
A;779;2818;779;2820;781;2820;781;2818
